Checking_Amt,Duration,Credit_History,Purpose,Credit_Amt,Savings_Amt,Employement,Installment_Rate,Personal_status, debtors/guarantors,Residence,Property,Age,Install_plans,Housing,No.of_credits,Job_type,No.of_people,Telephone,Foreigner,Credit_Risk
NA,24,delay in paying off in the past,business,8648,little,amateur,2,male,none,2,car or other,27,bank,Own,2,skilled employee,1,Yes,Yes,2
NA,14,delay in paying off in the past,car (new),802,little,Professional,4,male,none,2,car or other,27,none,Own,2,unskilled,1,None,Yes,1
Moderate,18,delay in paying off in the past,car (new),2899,NA,Master,4,male,none,4,car or other,43,none,Own,1,skilled employee,2,None,Yes,1
Moderate,24,existing credits paid back duly,radio/television,2039,little,amateur,1,male,none,1,building society savings agreement/ life insurance,22,none,Own,1,skilled employee,1,Yes,Yes,2
NA,24,critical account,car (used),2197,NA,Expert,4,male,none,4,car or other,43,none,Own,2,skilled employee,2,Yes,Yes,1
little,15,existing credits paid back duly,radio/television,1053,little,amateur,4,male,none,2,real estate,27,none,Own,1,skilled employee,1,None,No,1
NA,24,existing credits paid back duly,radio/television,3235,Quite Rich,Master,3,male,none,2,car or other,26,none,Own,1,qualified employee,1,Yes,Yes,1
Rich,12,critical account,car (new),939,Quite Rich,Expert,4,male,none,2,real estate,28,none,Own,3,skilled employee,1,Yes,Yes,2
Moderate,24,existing credits paid back duly,radio/television,1967,little,Master,4,female,none,4,car or other,20,none,Own,1,skilled employee,1,Yes,Yes,1
NA,33,critical account,car (used),7253,little,Expert,3,male,none,2,car or other,35,none,Own,2,qualified employee,1,Yes,Yes,1
NA,12,critical account,business,2292,little,Unemployed,4,male,none,2,car or other,42,stores,Own,2,qualified employee,1,Yes,Yes,2
NA,10,existing credits paid back duly,car (new),1597,Quite Rich,Professional,3,male,none,2, unknown / no property,40,none,Rent,1,unskilled,2,None,No,1
little,24,existing credits paid back duly,car (new),1381,NA,Professional,4,female,none,2,building society savings agreement/ life insurance,35,none,Own,1,skilled employee,1,None,Yes,2
NA,36,critical account,car (used),5842,little,Master,2,male,none,2,building society savings agreement/ life insurance,35,none,Own,2,skilled employee,2,Yes,Yes,1
little,12,existing credits paid back duly,car (new),2579,little,amateur,4,male,none,1,real estate,33,none,Own,1,unskilled,2,None,Yes,2
little,18,delay in paying off in the past,education,8471,NA,Professional,1,female,none,2,car or other,23,none,Rent,2,skilled employee,1,Yes,Yes,1
NA,21,existing credits paid back duly,car (new),2782,Quite Rich,Expert,1,female,none,2,car or other,31,bank,Own,1,qualified employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,car (new),1042,NA,Professional,4,female,none,2,building society savings agreement/ life insurance,33,none,Own,1,skilled employee,1,None,Yes,2
NA,15,existing credits paid back duly,car (new),3186,Rich,Expert,2,female,none,3,car or other,20,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,car (used),2028,NA,Professional,4,male,none,2,car or other,30,none,Own,1,skilled employee,1,None,Yes,1
Moderate,12,critical account,car (new),958,little,Expert,2,male,none,3,real estate,47,none,Own,2,unskilled,2,None,Yes,1
NA,21,delay in paying off in the past,furniture/equipment,1591,Moderate,Expert,4,male,none,3,real estate,34,none,Own,2,qualified employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,furniture/equipment,2762,NA,Master,1,female,none,2,building society savings agreement/ life insurance,25,bank,Own,1,skilled employee,1,Yes,Yes,2
Moderate,18,existing credits paid back duly,car (used),2779,little,Professional,1,male,none,3,car or other,21,none,Rent,1,skilled employee,1,Yes,Yes,1
NA,28,critical account,radio/television,2743,little,Master,4,male,none,2,car or other,29,none,Own,2,skilled employee,1,None,Yes,1
NA,18,critical account,radio/television,1149,Rich,Professional,4,male,none,3,real estate,46,none,Own,2,skilled employee,1,None,Yes,1
NA,9,existing credits paid back duly,furniture/equipment,1313,little,Master,1,male,none,4,car or other,20,none,Own,1,skilled employee,1,None,Yes,1
little,18,critical account,repairs,1190,little,Unemployed,2,female,none,4, unknown / no property,55,none,For Free,3,unemployed,2,None,Yes,2
NA,5,existing credits paid back duly,business,3448,little,Expert,1,male,none,4,real estate,74,none,Own,1,unskilled,1,None,Yes,1
Moderate,24,existing credits paid back duly,Others,11328,little,Professional,2,male, co-applicant,3,car or other,29,bank,Own,2,qualified employee,1,Yes,Yes,2
little,6,critical account,furniture/equipment,1872,little,Unemployed,4,male,none,4, unknown / no property,36,none,For Free,3,qualified employee,1,Yes,Yes,1
NA,24,critical account,repairs,2058,little,Professional,4,male,none,2,real estate,33,none,Own,2,skilled employee,1,Yes,Yes,1
little,9,existing credits paid back duly,furniture/equipment,2136,little,Professional,3,male,none,2,real estate,25,none,Own,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1484,NA,Professional,2,male,none,1,real estate,25,none,Own,1,skilled employee,1,Yes,Yes,2
NA,6,existing credits paid back duly,repairs,660,Quite Rich,Expert,2,male,none,4,real estate,23,none,Rent,1,unskilled,1,None,Yes,1
NA,24,critical account,car (new),1287,Rich,Master,4,female,none,4,real estate,37,none,Own,2,skilled employee,1,Yes,Yes,1
little,42,critical account,repairs,3394,little,Unemployed,4,male, co-applicant,4,car or other,65,none,Own,2,unemployed,1,None,Yes,1
Rich,12,all credits paid back duly,business,609,little,amateur,4,female,none,1,real estate,26,none,Own,1,unemployed,1,None,Yes,2
NA,12,existing credits paid back duly,car (new),1884,little,Master,4,male,none,4,car or other,39,none,Own,1,qualified employee,1,Yes,Yes,1
little,12,existing credits paid back duly,furniture/equipment,1620,little,Professional,2,female, co-applicant,3,building society savings agreement/ life insurance,30,none,Own,1,skilled employee,1,None,Yes,1
Moderate,20,delay in paying off in the past,Others,2629,little,Professional,2,male,none,3,car or other,29,bank,Own,2,skilled employee,1,Yes,Yes,1
NA,12,existing credits paid back duly,education,719,little,Master,4,male,none,4,car or other,41,bank,Own,1,unskilled,2,None,Yes,2
Moderate,48,critical account,furniture/equipment,5096,little,Professional,2,female,none,3,car or other,30,none,Own,1,qualified employee,1,Yes,Yes,2
NA,9,critical account,education,1244,NA,Master,4,female,none,4,building society savings agreement/ life insurance,41,none,Rent,2,unskilled,1,None,Yes,1
little,36,existing credits paid back duly,car (new),1842,little,amateur,4,female,none,4,car or other,34,none,Own,1,skilled employee,1,Yes,Yes,2
Moderate,7,existing credits paid back duly,radio/television,2576,little,Professional,2,male,guarantor,2,real estate,35,none,Own,1,skilled employee,1,None,Yes,1
Rich,12,existing credits paid back duly,furniture/equipment,1424,NA,Master,3,female,none,4,real estate,55,none,Own,1,qualified employee,1,Yes,Yes,1
Moderate,15,delay in paying off in the past,repairs,1512,Rich,Professional,3,male,none,3,building society savings agreement/ life insurance,61,stores,Own,2,skilled employee,1,None,Yes,2
NA,36,critical account,car (used),11054,NA,Professional,4,male,none,2,car or other,30,none,Own,1,qualified employee,1,Yes,Yes,1
NA,6,existing credits paid back duly,radio/television,518,little,Professional,3,female,none,1,real estate,29,none,Own,1,skilled employee,1,None,Yes,1
NA,12,no credits taken,furniture/equipment,2759,little,Master,2,male,none,4,building society savings agreement/ life insurance,34,none,Own,2,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,car (used),2670,little,Master,4,male,none,4,car or other,35,none,Own,1,qualified employee,1,Yes,Yes,1
little,24,existing credits paid back duly,car (new),4817,little,Expert,2,male, co-applicant,3,building society savings agreement/ life insurance,31,none,Own,1,skilled employee,1,Yes,Yes,2
NA,24,existing credits paid back duly,car (used),2679,little,amateur,4,female,none,1, unknown / no property,29,none,Own,1,qualified employee,1,Yes,Yes,1
little,11,critical account,car (new),3905,little,Professional,2,male,none,2,real estate,36,none,Rent,2,skilled employee,2,None,Yes,1
little,12,existing credits paid back duly,car (used),3386,little,Master,3,male,none,4, unknown / no property,35,none,For Free,1,skilled employee,1,Yes,Yes,2
little,6,existing credits paid back duly,domestic appliances,343,little,amateur,4,female,none,1,real estate,27,none,Own,1,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,radio/television,4594,little,amateur,3,male,none,2,car or other,32,none,Own,1,skilled employee,1,Yes,Yes,1
little,36,existing credits paid back duly,furniture/equipment,3620,little,Professional,1,male,guarantor,2,building society savings agreement/ life insurance,37,none,Own,1,skilled employee,2,None,Yes,1
little,15,existing credits paid back duly,car (new),1721,little,amateur,2,male,none,3,real estate,36,none,Own,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,furniture/equipment,3017,little,amateur,3,female,none,1,real estate,34,none,Rent,1,qualified employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,retraining,754,NA,Master,4,male,none,4,building society savings agreement/ life insurance,38,none,Own,2,skilled employee,1,None,Yes,1
NA,18,existing credits paid back duly,business,1950,little,Expert,4,male,none,1,car or other,34,stores,Own,2,skilled employee,1,Yes,Yes,1
little,24,existing credits paid back duly,car (used),2924,little,Professional,3,male,guarantor,4, unknown / no property,63,bank,Own,1,skilled employee,2,Yes,Yes,1
little,24,delay in paying off in the past,radio/television,1659,little,amateur,4,female,none,2,car or other,29,none,Rent,1,unskilled,1,Yes,Yes,2
NA,48,delay in paying off in the past,radio/television,7238,NA,Master,3,male,none,3,car or other,32,bank,Own,2,skilled employee,2,None,Yes,1
NA,33,delay in paying off in the past,business,2764,little,Professional,2,female,none,2,car or other,26,none,Own,2,skilled employee,1,Yes,Yes,1
NA,24,delay in paying off in the past,car (used),4679,little,Expert,3,male,none,3,car or other,35,none,Own,2,unskilled,1,Yes,Yes,1
Moderate,24,existing credits paid back duly,radio/television,3092,Moderate,amateur,3,male,none,2,car or other,22,none,Rent,1,skilled employee,1,Yes,Yes,2
little,6,existing credits paid back duly,education,448,little,amateur,4,female,none,4,building society savings agreement/ life insurance,23,none,Own,1,skilled employee,1,None,Yes,2
little,9,existing credits paid back duly,car (new),654,little,Professional,4,male,none,3,car or other,28,none,Own,1,unskilled,1,None,Yes,2
NA,6,existing credits paid back duly,retraining,1238,NA,Unemployed,4,male,none,4,building society savings agreement/ life insurance,36,none,Own,1,qualified employee,2,Yes,Yes,1
Moderate,18,critical account,radio/television,1245,little,Professional,4,male,none,2,car or other,33,none,Own,1,skilled employee,1,None,Yes,2
little,18,no credits taken,furniture/equipment,3114,little,amateur,1,female,none,4,building society savings agreement/ life insurance,26,none,Rent,1,skilled employee,1,None,Yes,2
NA,39,existing credits paid back duly,car (used),2569,Quite Rich,Professional,4,male,none,4,car or other,24,none,Own,1,skilled employee,1,None,Yes,1
Rich,24,existing credits paid back duly,radio/television,5152,little,Expert,4,male,none,2,car or other,25,bank,Own,1,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,business,1037,Moderate,Expert,3,male,none,4,real estate,39,none,Own,1,unskilled,1,None,Yes,1
little,15,critical account,furniture/equipment,1478,little,Master,4,male,none,4,car or other,44,none,Own,2,skilled employee,2,Yes,Yes,1
Moderate,12,critical account,radio/television,3573,little,Professional,1,female,none,1,real estate,23,none,Own,1,unskilled,1,None,Yes,1
Moderate,24,existing credits paid back duly,car (new),1201,little,amateur,4,male,none,1,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,1,None,Yes,1
little,30,existing credits paid back duly,furniture/equipment,3622,Rich,Master,4,female,none,4,building society savings agreement/ life insurance,57,none,Rent,2,skilled employee,1,Yes,Yes,1
NA,15,delay in paying off in the past,furniture/equipment,960,Rich,Expert,3,female,none,2,building society savings agreement/ life insurance,30,none,Own,2,skilled employee,1,None,Yes,1
NA,12,critical account,car (new),1163,Quite Rich,Professional,4,male,none,4,real estate,44,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,6,delay in paying off in the past,car (new),1209,little,Unemployed,4,male,none,4,building society savings agreement/ life insurance,47,none,Own,1,qualified employee,1,Yes,Yes,2
NA,12,existing credits paid back duly,radio/television,3077,little,Professional,2,male,none,4,car or other,52,none,Own,1,skilled employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,car (new),3757,little,Master,4,female, co-applicant,4, unknown / no property,62,none,For Free,1,skilled employee,1,Yes,Yes,1
NA,10,existing credits paid back duly,car (new),1418,Moderate,Professional,3,male,none,2,real estate,35,none,Rent,1,unskilled,1,None,No,1
NA,6,existing credits paid back duly,car (new),3518,little,Professional,2,male,guarantor,3,building society savings agreement/ life insurance,26,none,Rent,1,skilled employee,1,None,Yes,1
NA,12,critical account,radio/television,1934,little,Master,2,male,none,2, unknown / no property,26,none,Own,2,skilled employee,1,None,Yes,1
Moderate,27,no credits taken,business,8318,little,Master,2,female,none,4, unknown / no property,42,none,For Free,2,qualified employee,1,Yes,Yes,2
NA,6,critical account,radio/television,1237,Moderate,Professional,1,female,none,1,building society savings agreement/ life insurance,27,none,Own,2,skilled employee,1,None,Yes,1
Moderate,6,existing credits paid back duly,radio/television,368,NA,Master,4,male,none,4,building society savings agreement/ life insurance,38,none,Own,1,skilled employee,1,None,Yes,1
little,12,critical account,car (new),2122,little,Professional,3,male,none,2,real estate,39,none,Rent,2,unskilled,2,None,No,1
little,24,existing credits paid back duly,furniture/equipment,2996,NA,Professional,2,male,none,4,car or other,20,none,Own,1,skilled employee,1,None,Yes,2
Moderate,36,existing credits paid back duly,furniture/equipment,9034,Moderate,amateur,4,male, co-applicant,1, unknown / no property,29,none,Rent,1,qualified employee,1,Yes,Yes,2
NA,24,critical account,furniture/equipment,1585,little,Expert,4,male,none,3,building society savings agreement/ life insurance,40,none,Own,2,skilled employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,radio/television,1301,little,Master,4,male,guarantor,2,real estate,32,none,Own,1,unskilled,1,None,Yes,1
Rich,6,critical account,car (new),1323,Moderate,Master,2,male,none,4,car or other,28,none,Own,2,skilled employee,2,Yes,Yes,1
little,24,existing credits paid back duly,car (new),3123,little,amateur,4,female,none,1,building society savings agreement/ life insurance,27,none,Own,1,skilled employee,1,None,Yes,2
little,36,existing credits paid back duly,car (used),5493,little,Master,2,male,none,4, unknown / no property,42,none,For Free,1,skilled employee,2,None,Yes,1
Rich,9,existing credits paid back duly,radio/television,1126,Moderate,Master,2,male,none,4,real estate,49,none,Own,1,skilled employee,1,None,Yes,1
Moderate,24,critical account,radio/television,1216,Moderate,amateur,4,male,none,4, unknown / no property,38,bank,Own,2,skilled employee,2,None,Yes,2
little,24,existing credits paid back duly,car (new),1207,little,amateur,4,female,none,4,building society savings agreement/ life insurance,24,none,Rent,1,skilled employee,1,None,Yes,2
NA,10,existing credits paid back duly,car (new),1309,NA,Professional,4,male,guarantor,4,building society savings agreement/ life insurance,27,none,Own,1,unskilled,1,None,Yes,2
Rich,15,critical account,car (used),2360,Quite Rich,Professional,2,male,none,2,car or other,36,none,Own,1,skilled employee,1,Yes,Yes,1
Moderate,15,all credits paid back duly,car (new),6850,Moderate,Unemployed,1,male,none,2,building society savings agreement/ life insurance,34,none,Own,1,qualified employee,2,Yes,Yes,2
NA,24,existing credits paid back duly,radio/television,1413,little,Professional,4,male,none,2,building society savings agreement/ life insurance,28,none,Own,1,skilled employee,1,None,Yes,1
NA,39,existing credits paid back duly,car (used),8588,Moderate,Master,4,male,none,2,car or other,45,none,Own,1,qualified employee,1,Yes,Yes,1
little,12,existing credits paid back duly,car (new),759,little,Expert,4,male,none,2,real estate,26,none,Own,1,skilled employee,1,None,Yes,2
NA,36,existing credits paid back duly,car (used),4686,little,Professional,2,male,none,2, unknown / no property,32,none,For Free,1,qualified employee,1,Yes,Yes,1
Rich,15,existing credits paid back duly,business,2687,little,Expert,2,male,none,4,building society savings agreement/ life insurance,26,none,Rent,1,skilled employee,1,Yes,Yes,1
Moderate,12,delay in paying off in the past,radio/television,585,little,Professional,4,male, co-applicant,4,real estate,20,none,Rent,2,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,car (new),2255,NA,amateur,4,male,none,1,building society savings agreement/ life insurance,54,none,Own,1,skilled employee,1,None,Yes,1
little,6,critical account,car (new),609,little,Expert,4,female,none,3,building society savings agreement/ life insurance,37,none,Own,2,skilled employee,1,None,No,1
little,6,critical account,car (new),1361,little,amateur,2,male,none,4,real estate,40,none,Own,1,unskilled,2,None,No,1
NA,36,critical account,furniture/equipment,7127,little,amateur,2,female,none,4,building society savings agreement/ life insurance,23,none,Rent,2,skilled employee,1,Yes,Yes,2
little,6,existing credits paid back duly,car (new),1203,Moderate,Master,3,male,none,2,building society savings agreement/ life insurance,43,none,Own,1,skilled employee,1,Yes,Yes,1
NA,6,critical account,radio/television,700,NA,Master,4,male,none,4, unknown / no property,36,none,For Free,2,skilled employee,1,None,Yes,1
NA,24,critical account,repairs,5507,little,Master,3,male,none,4, unknown / no property,44,none,For Free,2,skilled employee,1,None,Yes,1
little,18,existing credits paid back duly,radio/television,3190,little,Professional,2,female,none,2,real estate,24,none,Own,1,skilled employee,1,None,Yes,2
little,48,no credits taken,furniture/equipment,7119,little,Professional,3,male,none,4, unknown / no property,53,none,For Free,2,skilled employee,2,None,Yes,2
NA,24,existing credits paid back duly,car (used),3488,Moderate,Expert,3,female,none,4,car or other,23,none,Own,1,skilled employee,1,None,Yes,1
Moderate,18,existing credits paid back duly,radio/television,1113,little,Professional,4,female,guarantor,4,real estate,26,none,Own,1,unskilled,2,None,Yes,1
Moderate,26,existing credits paid back duly,car (used),7966,little,amateur,2,male,none,3,car or other,30,none,Own,2,skilled employee,1,None,Yes,1
NA,15,critical account,education,1532,Moderate,Professional,4,female,none,3,car or other,31,none,Own,1,skilled employee,1,None,Yes,1
NA,4,critical account,radio/television,1503,little,Expert,2,male,none,1,real estate,42,none,Own,2,unskilled,2,None,Yes,1
little,36,existing credits paid back duly,radio/television,2302,little,Professional,4,male,none,4,car or other,31,none,Rent,1,skilled employee,1,None,Yes,2
little,6,existing credits paid back duly,car (new),662,little,amateur,3,male,none,4,real estate,41,none,Own,1,unskilled,2,Yes,Yes,1
Moderate,36,existing credits paid back duly,education,2273,little,Expert,3,male,none,1,car or other,32,none,Own,2,skilled employee,2,None,Yes,1
Moderate,15,existing credits paid back duly,car (new),2631,Moderate,Professional,2,female,none,4,car or other,28,none,Rent,2,skilled employee,1,Yes,Yes,2
NA,12,delay in paying off in the past,car (used),1503,little,Professional,4,male,none,4,real estate,41,none,Rent,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,radio/television,1311,Moderate,Expert,4,male,none,3,building society savings agreement/ life insurance,26,none,Own,1,skilled employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,radio/television,3105,NA,amateur,4,male,none,2,car or other,25,none,Own,2,skilled employee,1,None,Yes,1
Rich,21,critical account,education,2319,little,amateur,2,male,none,1,car or other,33,none,Rent,1,skilled employee,1,None,Yes,2
little,6,existing credits paid back duly,car (new),1374,NA,Unemployed,4,female,none,3,building society savings agreement/ life insurance,75,none,Own,1,qualified employee,1,Yes,Yes,1
Moderate,18,critical account,furniture/equipment,3612,little,Master,3,female,none,4,building society savings agreement/ life insurance,37,none,Own,1,skilled employee,1,Yes,Yes,1
little,48,existing credits paid back duly,car (new),7763,little,Master,4,male,none,4, unknown / no property,42,bank,For Free,1,qualified employee,1,None,Yes,2
Rich,18,existing credits paid back duly,furniture/equipment,3049,little,amateur,1,female,none,1,building society savings agreement/ life insurance,45,stores,Own,1,unskilled,1,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1534,little,amateur,1,male,none,1,real estate,23,none,Rent,1,skilled employee,1,None,Yes,2
NA,24,delay in paying off in the past,car (new),2032,little,Master,4,male,none,4, unknown / no property,60,none,For Free,2,skilled employee,1,Yes,Yes,1
little,30,existing credits paid back duly,furniture/equipment,6350,NA,Master,4,male,none,4,building society savings agreement/ life insurance,31,none,Own,1,skilled employee,1,None,Yes,2
Rich,18,existing credits paid back duly,furniture/equipment,2864,little,Professional,2,male,none,1,real estate,34,none,Own,1,unskilled,2,None,Yes,2
NA,12,critical account,car (new),1255,little,Master,4,male,none,4,real estate,61,none,Own,2,unskilled,1,None,Yes,1
little,24,delay in paying off in the past,car (new),1333,little,Unemployed,4,male,none,2,real estate,43,none,For Free,2,skilled employee,2,None,Yes,2
NA,24,critical account,car (new),2022,little,Professional,4,female,none,4,car or other,37,none,Own,1,skilled employee,1,Yes,Yes,1
NA,24,existing credits paid back duly,radio/television,1552,little,Expert,3,male,none,1,car or other,32,bank,Own,1,skilled employee,2,None,Yes,1
little,12,all credits paid back duly,radio/television,626,little,Professional,4,female,none,4,real estate,24,bank,Own,1,unskilled,1,None,Yes,2
NA,48,critical account,car (used),8858,NA,Expert,2,male,none,1, unknown / no property,35,none,For Free,2,skilled employee,1,Yes,Yes,1
NA,12,critical account,repairs,996,NA,Expert,4,female,none,4,real estate,23,none,Own,2,skilled employee,1,None,Yes,1
NA,6,all credits paid back duly,radio/television,1750,Quite Rich,Master,2,male,none,4,building society savings agreement/ life insurance,45,bank,Own,1,unskilled,2,None,Yes,1
little,48,existing credits paid back duly,radio/television,6999,little,Expert,1,male,guarantor,1,real estate,34,none,Own,2,skilled employee,1,Yes,Yes,2
Moderate,12,critical account,car (new),1995,Moderate,amateur,4,male,none,1,car or other,27,none,Own,1,skilled employee,1,None,Yes,1
Moderate,9,existing credits paid back duly,education,1199,little,Expert,4,female,none,4,building society savings agreement/ life insurance,67,none,Own,2,qualified employee,1,Yes,Yes,1
Moderate,12,existing credits paid back duly,radio/television,1331,little,amateur,2,male,none,1,car or other,22,stores,Own,1,skilled employee,1,None,Yes,2
Moderate,18,no credits taken,car (new),2278,Moderate,amateur,3,female,none,3,car or other,28,none,Own,2,skilled employee,1,None,Yes,2
NA,21,no credits taken,car (new),5003,NA,Professional,1,female,none,4,building society savings agreement/ life insurance,29,bank,Own,2,skilled employee,1,Yes,Yes,2
little,24,all credits paid back duly,furniture/equipment,3552,little,Expert,3,male,none,4,car or other,27,bank,Own,1,skilled employee,1,None,Yes,2
Moderate,18,critical account,furniture/equipment,1928,little,amateur,2,male,none,2,real estate,31,none,Own,2,unskilled,1,None,Yes,2
little,24,existing credits paid back duly,car (used),2964,NA,Master,4,male,none,4, unknown / no property,49,bank,For Free,1,skilled employee,2,Yes,Yes,1
little,24,all credits paid back duly,radio/television,1546,little,Expert,4,male,guarantor,4,car or other,24,bank,Rent,1,unskilled,1,None,Yes,2
Rich,6,delay in paying off in the past,radio/television,683,little,amateur,2,female,none,1,building society savings agreement/ life insurance,29,bank,Own,1,skilled employee,1,None,Yes,1
Moderate,36,existing credits paid back duly,car (new),12389,NA,Professional,1,male,none,4, unknown / no property,37,none,For Free,1,skilled employee,1,Yes,Yes,2
Moderate,24,delay in paying off in the past,business,4712,NA,Professional,4,male,none,2,building society savings agreement/ life insurance,37,bank,Own,2,qualified employee,1,Yes,Yes,1
Moderate,24,delay in paying off in the past,radio/television,1553,Moderate,Expert,3,female,none,2,building society savings agreement/ life insurance,23,none,Rent,2,skilled employee,1,Yes,Yes,1
little,12,existing credits paid back duly,car (new),1372,little,Expert,2,male,none,3,car or other,36,none,Own,1,skilled employee,1,None,Yes,2
NA,24,critical account,radio/television,2578,Rich,Master,2,male,none,2,car or other,34,none,Own,1,skilled employee,1,None,Yes,1
Moderate,48,existing credits paid back duly,radio/television,3979,NA,Expert,4,male,none,1,car or other,41,none,Own,2,skilled employee,2,Yes,Yes,1
little,48,existing credits paid back duly,radio/television,6758,little,Professional,3,female,none,2,car or other,31,none,Own,1,skilled employee,1,Yes,Yes,2
little,24,existing credits paid back duly,furniture/equipment,3234,little,amateur,4,female,none,4,real estate,23,none,Rent,1,unskilled,1,Yes,Yes,2
NA,30,critical account,radio/television,5954,little,Expert,3,male, co-applicant,2,car or other,38,none,Own,1,skilled employee,1,None,Yes,1
NA,24,existing credits paid back duly,car (used),5433,NA,Unemployed,2,female,none,4,building society savings agreement/ life insurance,26,none,Rent,1,qualified employee,1,Yes,Yes,1
little,15,existing credits paid back duly,business,806,little,Professional,4,female,none,4,building society savings agreement/ life insurance,22,none,Own,1,unskilled,1,None,Yes,1
Moderate,9,existing credits paid back duly,radio/television,1082,little,Master,4,male,none,4,car or other,27,none,Own,2,unskilled,1,None,Yes,1
NA,15,critical account,furniture/equipment,2788,little,Expert,2,female, co-applicant,3,car or other,24,bank,Own,2,skilled employee,1,None,Yes,1
Moderate,12,existing credits paid back duly,radio/television,2930,little,Expert,2,female,none,1,real estate,27,none,Own,1,skilled employee,1,None,Yes,1
NA,24,critical account,education,1927,NA,Professional,3,female,none,2,car or other,33,none,Own,2,skilled employee,1,Yes,Yes,1
Moderate,36,critical account,car (new),2820,little,amateur,4,male,none,4,car or other,27,none,Own,2,skilled employee,1,None,Yes,2
NA,24,existing credits paid back duly,retraining,937,little,amateur,4,male,none,3,car or other,27,none,Own,2,unskilled,1,None,Yes,1
Moderate,18,critical account,car (new),1056,little,Master,3,male,guarantor,3,real estate,30,bank,Own,2,skilled employee,1,None,Yes,2
Moderate,12,critical account,car (new),3124,little,amateur,1,male,none,3,real estate,49,bank,Own,2,unskilled,2,None,Yes,1
NA,9,existing credits paid back duly,furniture/equipment,1388,little,Professional,4,female,none,2,real estate,26,none,Rent,1,skilled employee,1,None,Yes,1
Moderate,36,existing credits paid back duly,repairs,2384,little,amateur,4,male,none,1, unknown / no property,33,none,Rent,1,unskilled,1,None,Yes,2
NA,12,existing credits paid back duly,car (new),2133,NA,Master,4,female,none,4, unknown / no property,52,none,For Free,1,qualified employee,1,Yes,Yes,1
little,18,existing credits paid back duly,furniture/equipment,2039,little,Professional,1,female,none,4,real estate,20,bank,Rent,1,skilled employee,1,None,Yes,2
little,9,critical account,car (new),2799,little,Professional,2,male,none,2,real estate,36,none,Rent,2,skilled employee,2,None,Yes,1
little,12,existing credits paid back duly,furniture/equipment,1289,little,Professional,4,male,guarantor,1,building society savings agreement/ life insurance,21,none,Own,1,unskilled,1,None,Yes,1
little,18,existing credits paid back duly,domestic appliances,1217,little,Professional,4,male,none,3,real estate,47,none,Own,1,unskilled,1,Yes,Yes,2
little,12,critical account,furniture/equipment,2246,little,Master,3,male,none,3,building society savings agreement/ life insurance,60,none,Own,2,skilled employee,1,None,Yes,2
little,12,critical account,radio/television,385,little,Expert,4,female,none,3,real estate,58,none,Own,4,unskilled,1,Yes,Yes,1
Moderate,24,delay in paying off in the past,car (new),1965,NA,Professional,4,female,none,4,car or other,42,none,Rent,2,skilled employee,1,Yes,Yes,1
NA,21,existing credits paid back duly,business,1572,Rich,Master,4,female,none,4,real estate,36,bank,Own,1,unskilled,1,None,Yes,1
Moderate,24,existing credits paid back duly,car (new),2718,little,Professional,3,female,none,4,building society savings agreement/ life insurance,20,none,Rent,1,unskilled,1,Yes,Yes,2
little,24,all credits paid back duly,Others,1358,NA,Master,4,male,none,3,car or other,40,stores,Own,1,qualified employee,1,Yes,Yes,2
Moderate,6,all credits paid back duly,car (new),931,Moderate,amateur,1,female,none,1,building society savings agreement/ life insurance,32,stores,Own,1,unskilled,1,None,Yes,2
little,24,existing credits paid back duly,car (new),1442,little,Expert,4,female,none,4,car or other,23,none,Rent,2,skilled employee,1,None,Yes,2
Moderate,24,no credits taken,business,4241,little,Professional,1,male,none,4,real estate,36,none,Own,3,unskilled,1,Yes,Yes,2
NA,18,critical account,car (new),2775,little,Expert,2,male,none,2,building society savings agreement/ life insurance,31,bank,Own,2,skilled employee,1,None,Yes,2
NA,24,delay in paying off in the past,business,3863,little,Professional,1,male,none,2, unknown / no property,32,none,For Free,1,skilled employee,1,None,Yes,1
Moderate,7,existing credits paid back duly,radio/television,2329,little,amateur,1,female,guarantor,1,real estate,45,none,Own,1,skilled employee,1,None,Yes,1
Moderate,9,existing credits paid back duly,furniture/equipment,918,little,Professional,4,female,none,1,building society savings agreement/ life insurance,30,none,Own,1,skilled employee,1,None,Yes,2
Moderate,24,all credits paid back duly,education,1837,little,Expert,4,female,none,4, unknown / no property,34,bank,For Free,1,unskilled,1,None,Yes,2
